"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 01 03:22:19 UTC 2026","Sun Mar 01 03:22:20 UTC 2026","957","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 3 => username = locked_out_user, password= secret_sauce, url = https://www.saucedemo.com/, error = Epic sadface: Sorry, this user has been locked out.","Verify that user is unable to log in using invalid credentials."
"passed","Sun Mar 01 03:22:20 UTC 2026","Sun Mar 01 03:22:21 UTC 2026","906","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 4 => username =  , password=  , url = https://www.saucedemo.com/, error = Epic sadface: Username and password do not match any user in this service","Verify that user is unable to log in using invalid credentials."
"passed","Sun Mar 01 03:22:22 UTC 2026","Sun Mar 01 03:22:23 UTC 2026","766","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulDirectInventoryAccess","Unsuccessful login without login process","Verify that inventory page cannot be accessed without login process"
"passed","Sun Mar 01 03:22:33 UTC 2026","Sun Mar 01 03:22:35 UTC 2026","1617","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulLogoutFromSidebar","Successful logout from sidebar","Verify that a logged in user is able to log out using the sidebar menu"
"passed","Sun Mar 01 03:22:35 UTC 2026","Sun Mar 01 03:22:37 UTC 2026","2097","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulDisplaysSidebarItemsAndCloseThePanel","Sidebar menu displays items and can be closed","Verify that the sidebar menu displays all items and can be closed successfully"
"passed","Sun Mar 01 03:22:21 UTC 2026","Sun Mar 01 03:22:22 UTC 2026","881","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","successfulLoginWithValidCredentials","Successful login with valid credentials","Verify that a standard user is able to log in using valid credentials"
"passed","Sun Mar 01 03:22:23 UTC 2026","Sun Mar 01 03:22:24 UTC 2026","881","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addSingleProductToCart","Add single product to cart from products page","Verify that a logged in user can add a single product to the cart and the cart badge is updated accordingly"
"passed","Sun Mar 01 03:22:24 UTC 2026","Sun Mar 01 03:22:25 UTC 2026","904","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","cartStateShouldPersistAfterNavigation","Cart state should persist after navigation","Verify that products added to the cart remain in the cart after navigating between pages"
"passed","Sun Mar 01 03:21:39 UTC 2026","Sun Mar 01 03:22:14 UTC 2026","35075","","tests.ui.LoginPageUiTest","","tests.ui.LoginPageUiTest","uiVerification","UI matches design specification","Verify that the login page visual properties match the approved UI specification:
- background color
- font size and colors
"
"passed","Sun Mar 01 03:22:26 UTC 2026","Sun Mar 01 03:22:27 UTC 2026","927","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addProductToCartFromProductDetailsPage","Add product to cart from product details page","Verify that user can add a product to the cart from the inventory item details page"
"passed","Sun Mar 01 03:22:17 UTC 2026","Sun Mar 01 03:22:18 UTC 2026","966","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 1 => username = invalid, password= invalid, url = https://www.saucedemo.com/, error = Epic sadface: Username and password do not match any user in this service","Verify that user is unable to log in using invalid credentials."
"passed","Sun Mar 01 03:22:37 UTC 2026","Sun Mar 01 03:22:39 UTC 2026","1892","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulAllItemsFromSidebar","Successful navigated to inventory page","Verify that a logged in user is able to reach inventory page using the sidebar menu"
"passed","Sun Mar 01 03:22:25 UTC 2026","Sun Mar 01 03:22:26 UTC 2026","875","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","sameProductCannotBeAddedTwice","Same product cannot be added twice to the cart","Verify that clicking Add to Cart multiple times for the same product does not increase cart count"
"passed","Sun Mar 01 03:22:27 UTC 2026","Sun Mar 01 03:22:28 UTC 2026","870","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","removeProductFromCart","Remove product from cart from products page","Verify that user is able to remove a product from the cart and cart badge is updated"
"passed","Sun Mar 01 03:22:25 UTC 2026","Sun Mar 01 03:22:25 UTC 2026","884","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addMultipleProductsToCart","Add multiple products to cart","Verify that user can add multiple different products to the cart and cart badge shows correct count"
"passed","Sun Mar 01 03:22:28 UTC 2026","Sun Mar 01 03:22:33 UTC 2026","5190","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulAboutSiteFromSidebar","Successful navigated to about site","Verify that a logged in user is able to reach about site using the sidebar menu"
"passed","Sun Mar 01 03:22:18 UTC 2026","Sun Mar 01 03:22:19 UTC 2026","887","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 2 => username = , password= , url = https://www.saucedemo.com/, error = Epic sadface: Username is required","Verify that user is unable to log in using invalid credentials."
"passed","Sun Mar 01 03:22:15 UTC 2026","Sun Mar 01 03:22:17 UTC 2026","2710","","tests.ui.SidebarUiTest","","tests.ui.SidebarUiTest","uiVerification","UI matches design specification","Verify that the sidebar visual properties match the approved UI specification:
- background color
- font size and colors
"
